id;pagetitle;published;configuration_id;doors-count;generation;generation_name;is_restyle;mark_id;model_class;model_id;model;car-price
29299;"HONDA Accord седан IX Рестайлинг";0;21717309;4;20229563;"IX Рестайлинг";1;HONDA;D;HONDA_ACCORD;Accord;2200000
29301;"HONDA Civic седан X";0;20704347;4;20704275;X;0;HONDA;C;HONDA_CIVIC;Civic;1450000
29302;"HONDA Civic купе X";0;20765558;2;20704275;X;0;HONDA;C;HONDA_CIVIC;Civic;1510000
29304;"HONDA Freed компактвэн II";0;21103489;5;21101958;II;0;HONDA;M;HONDA_FREED;Freed;980000
29305;"HONDA Freed компактвэн II";0;23427309;5;21101958;II;0;HONDA;M;HONDA_FREED;Freed;1310000
29307;"HONDA HR-V внедорожник 5 дв. II Рестайлинг";0;22421203;5;22421141;"II Рестайлинг";1;HONDA;B;HONDA_HR_V;HR-V;1870000
29309;"HONDA Odyssey (North America) минивэн V";0;21121457;5;21121411;V;0;HONDA;M;HONDA_ODYSSEY_NA;"Odyssey (North America)";2875000
29311;"HONDA Pilot внедорожник 5 дв. III Рестайлинг";0;21509495;5;21509365;"III Рестайлинг";1;HONDA;E;HONDA_PILOT;Pilot;3650000
29313;"HONDA Shuttle универсал 5 дв. II";0;20853978;5;20853932;II;0;HONDA;B;HONDA_SHUTTLE;Shuttle;1020000
29316;"HYUNDAI Creta внедорожник 5 дв. I";0;20773995;5;20773960;I;0;HYUNDAI;B;HYUNDAI_CRETA;Creta;670000
29318;"HYUNDAI Encino внедорожник 5 дв. ";0;23212731;5;23212659;;0;HYUNDAI;B;HYUNDAI_ENCINO;Encino;2429000
29320;"HYUNDAI i30 N хэтчбек 5 дв. I";0;21042129;5;21042089;I;0;HYUNDAI;C;HYUNDAI_I30_N;"i30 N";1599000
29322;"HYUNDAI i40 седан I Рестайлинг";0;20534745;4;20534709;"I Рестайлинг";1;HYUNDAI;D;HYUNDAI_I40;i40;940000
29323;"HYUNDAI i40 универсал 5 дв. I Рестайлинг";0;20534766;5;20534709;"I Рестайлинг";1;HYUNDAI;D;HYUNDAI_I40;i40;880000
29325;"HYUNDAI Kona внедорожник 5 дв. I";0;21019461;5;21019360;I;0;HYUNDAI;B;HYUNDAI_KONA;Kona;2397000
29327;"HYUNDAI Maxcruz внедорожник 5 дв. ";0;20469164;5;20347158;;0;HYUNDAI;D;HYUNDAI_MAXCRUZ;Maxcruz;1700000
29329;"HYUNDAI Palisade внедорожник 5 дв. I";0;21463082;5;21463036;I;0;HYUNDAI;E;HYUNDAI_PALISADE;Palisade;2225000
29331;"HYUNDAI Solaris седан II";0;20922742;4;20922677;II;0;HYUNDAI;B;HYUNDAI_SOLARIS;Solaris;560000
29333;"HYUNDAI Veloster хэтчбек 4 дв. II";0;21217718;4;21217681;II;0;HYUNDAI;C;HYUNDAI_VELOSTER;Veloster;1261000
29335;"HYUNDAI Accent седан IV";0;9352376;5;8555627;IV;0;HYUNDAI;B;HYUNDAI_ACCENT;Accent;630000
29337;"HYUNDAI Elantra седан VI (AD) Рестайлинг";0;21516836;4;21516782;"VI (AD) Рестайлинг";1;HYUNDAI;C;HYUNDAI_ELANTRA;Elantra;1230000
29339;"HYUNDAI Elantra седан VI (AD)";0;20771768;4;20771689;"VI (AD)";0;HYUNDAI;C;HYUNDAI_ELANTRA;Elantra;890000
29341;"HYUNDAI Grand Starex минивэн I Рестайлинг 2";0;21289342;5;21289293;"I Рестайлинг 2";1;HYUNDAI;M;HYUNDAI_GRAND_STAREX;"Grand Starex";1799000
29342;"HYUNDAI Grand Starex фургон I Рестайлинг 2";0;21805607;5;21289293;"I Рестайлинг 2";1;HYUNDAI;M;HYUNDAI_GRAND_STAREX;"Grand Starex";1785000
29344;"HYUNDAI Grandeur седан VI";0;23170722;4;23170681;VI;0;HYUNDAI;E;HYUNDAI_GRANDEUR;Grandeur;1620000
29346;"HYUNDAI H-1 минивэн II Рестайлинг 2";0;21193094;5;21193052;"II Рестайлинг 2";1;HYUNDAI;M;HYUNDAI_H_1_STAREX;H-1;2800000
29348;"HYUNDAI i10 хэтчбек 5 дв. II Рестайлинг";0;20896497;5;20896439;"II Рестайлинг";1;HYUNDAI;A;HYUNDAI_I10;i10;600000
29350;"HYUNDAI Santa Fe внедорожник 5 дв. IV";0;21209358;5;21209323;IV;0;HYUNDAI;D;HYUNDAI_SANTA_FE;"Santa Fe";2022000
29352;"HYUNDAI Sonata седан VII (LF) Рестайлинг";0;21104826;4;21104772;"VII (LF) Рестайлинг";1;HYUNDAI;D;HYUNDAI_SONATA;Sonata;850000
